px,py,pz,vx,vy,vz,gx,gy,gz,usvgx,usvgy,usvgz,usvx,usvy,usvz,tiltx,global time
0.021742025390267372,-0.06074545159935951,1.4096418619155884,0.0,0.0,0.0,0.005980707644720034,-0.015815409906937142,1.0200000073892153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.900330543518066
0.02126082219183445,-0.06098491698503494,1.409149169921875,0.0,0.0,0.0,0.0055664888510736895,1.1127358355095267,1.3440574833738996,0.0,2.0,1.02,0.0,0.0,0.0,0.0,9.900330543518066
0.021021001040935516,-0.061133213341236115,1.408534288406372,0.0,0.0,0.0,0.005443289093901121,1.1126161897387794,1.34390502404896,0.0,2.0,1.02,1.7814185614318903,-0.015560927248738012,1.02,-27.265510879521333,9.900330543518066
0.020614804700016975,-0.06099632382392883,1.407261610031128,0.0,0.0,0.0,0.005381889029133204,1.1125420953897747,1.343715317284348,0.0,2.0,1.02,1.781396314015772,-0.015537481829078967,1.02,-27.267864084839136,10.000409364700317
0.020164402201771736,-0.06034207344055176,1.4046047925949097,0.0,0.0,0.0,0.005277892857221412,1.11261049045983,1.3433236589192687,0.0,2.0,1.02,1.7814545922156655,-0.015516657922999711,1.02,-15.619928623164677,10.000409364700317
0.019603151828050613,-0.0598188191652298,1.4033039808273315,0.0,0.0,0.0,0.1709977002514264,-0.016988963444933634,1.3425552685419044,0.22361856721957502,-0.0020698535418455133,1.02,1.7814647329268447,-0.015582287421336624,1.02,-15.620271961307303,10.000409364700317
0.019025538116693497,-0.05912286415696144,1.3995155096054077,0.0,0.0,0.0,0.1708399151406213,-0.016854997581126283,1.3421816480978623,0.22361856721957502,-0.0020698535418455133,1.02,1.7814962947029684,-0.015526834056763146,1.02,-15.624657477877687,10.000409364700317
0.017860300838947296,-0.057974059134721756,1.3969993591308594,0.0,0.0,0.0,0.17067752853032286,-0.016676816118712138,1.3410947776534772,0.22361856721957502,-0.0020698535418455133,1.02,1.7814761859934967,-0.015558792253137155,1.02,-15.61816420126079,10.000409364700317
0.017249125987291336,-0.056991107761859894,1.3950493335723877,0.0,0.0,0.0,0.17034994363903938,-0.0163826939986314,1.340372815499729,0.22361856721957502,-0.0020698535418455133,1.02,1.7814546669227038,-0.015614379312430112,1.02,-15.61896527533076,10.100317239761353
0.017129477113485336,-0.056040871888399124,1.3915661573410034,0.0,0.0,0.0,0.17015765011918377,-0.015994210323866616,1.3398136234455544,0.22359008780506406,-0.0018859441002376663,1.02,1.7814811158904567,-0.015555662766824335,1.02,-2.4691168378703843,10.100317239761353
0.017880894243717194,-0.05544552952051163,1.3884618282318115,0.0,0.0,0.0,0.1701240141174927,-0.015750926749197345,1.3388140483732627,0.22359008780506406,-0.0018859441002376663,1.02,1.7814720592485465,-0.015573735841095539,1.02,-2.4753568351408872,10.100317239761353
0.018403099849820137,-0.053761452436447144,1.3825998306274414,0.0,0.0,0.0,0.17033526126658127,-0.015598504575528596,1.337929500435785,0.22359008780506406,-0.0018859441002376663,1.02,1.7814876352340818,-0.015574899859597462,1.02,-2.4684597472345975,10.100317239761353
0.018861379474401474,-0.05262019485235214,1.3789705038070679,0.0,0.0,0.0,0.1704820697635676,-0.01516733974807344,1.3363830955302332,0.22359008780506406,-0.0018859441002376663,1.02,1.781422825009931,-0.015497245145728708,1.02,10.942439766724824,10.200445175170898
0.020865732803940773,-0.05216114968061447,1.3739019632339478,0.0,0.0,0.0,0.192297920505137,-0.022465100303287633,1.3354331958917314,0.2538741326484354,-0.012087824826620519,1.02,1.7814537245013469,-0.015535147170653739,1.02,10.945066451754453,10.200445175170898
0.023346595466136932,-0.051061902195215225,1.3691271543502808,0.0,0.0,0.0,0.19290811631022536,-0.022347573539790083,1.3341066741098588,0.2538741326484354,-0.012087824826620519,1.02,1.7814750752986659,-0.015593845100995265,1.02,10.948355464608715,10.200445175170898
0.02661881409585476,-0.0506628155708313,1.3639061450958252,0.0,0.0,0.0,0.19364085928157038,-0.022066139364927035,1.3328570324892264,0.2538741326484354,-0.012087824826620519,1.02,1.7814413437225138,-0.015646191067790197,1.02,10.949411330698869,10.200445175170898
0.029352547600865364,-0.05058615282177925,1.3597662448883057,0.0,0.0,0.0,0.19456187153057797,-0.021963963452560447,1.331490611678885,0.2538741326484354,-0.012087824826620519,1.02,1.7814814366112284,-0.015625219840792855,1.02,10.94687065986839,10.300365447998047
0.03399738669395447,-0.05037727206945419,1.3540369272232056,0.0,0.0,0.0,0.19532915336562748,-0.021961058700214343,1.3304071328171096,0.2538722433121258,-0.012110302420888373,1.02,1.7814802906451415,-0.015606631932230407,1.02,23.271286009253867,10.300365447998047
0.03800151124596596,-0.050104763358831406,1.3498568534851074,0.0,0.0,0.0,0.1966349872087938,-0.021907580131564644,1.3289076728113247,0.2538722433121258,-0.012110302420888373,1.02,1.7814249595259453,-0.015608811502143,1.02,23.266039280406684,10.300365447998047
